,Campus Name,Lower Grade,Upper Grade,Grade Range,Map Label,Lower Age,Upper Age,CDS Code,Campus Address,Location 1,Zip Codes,Supervisor District,Neighborhoods (old),Fire Prevention Districts,Police Districts,Supervisor Districts,CCSF Entity_Private,CCSF Entity_SFCCD,CCSF Entity_SFUSD,Category_Community College District,Category_Independent / Private,Category_USD Charter School,Category_USD Charter School; PreK-5,Category_USD County School,Category_USD Grades 6-12,Category_USD Grades 6-8,Category_USD Grades 9-12,Category_USD Grades K-4,Category_USD Grades K-5,"Category_USD Grades K-5, PreK-5",Category_USD Grades K-8,Category_USD Grades PK-8,Category_USD PreK,"Category_USD PreK, Grades K-5",Category_USD PreK-4,"Category_USD PreK-4, Grades K-5",Category_USD PreK-5,Category_USD PreK-5                                   ,"Category_USD PreK-5, Grades K-5",Category_USD PreK-8,Category_USD PreK/TK,Category_USD PreK/TK-4,Category_USD PreK/TK-5,General Type_CC,General Type_CDC,General Type_IND,General Type_PS
29,Haight Ashbury Community Nursery School,-2,-1,PK,CDC050,3,4,380500254.0,"1180 STANYAN ST, SAN FRANCISCO, CA 94117","CA
(37.762451, -122.451889)",29492,5,9,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Convent Of The Sacred Heart Elementary School,0,8,K-8,IND230,5,13,38684786981138.0,"2222 BROADWAY ST, SAN FRANCISCO, CA 94115","CA
(37.794689, -122.433876)",29490,2,27,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Hilltop Child Development Center,-2,-1,PK,CDC053,3,4,384002329.0,"2728 BRYANT ST, SAN FRANCISCO, CA 94110","CA
(37.750465, -122.409149)",28859,9,19,2.0,4.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,Visitacion Valley Middle School,6,8,6-8,PS119,11,13,38684786059919.0,"450 RAYMOND AVE, San Francisco, CA 94134","CA
(37.715744, -122.412079)",309,10,18,9.0,7.0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,Bryant Early Education / Bryant Elementary,-2,5,PK-5,PS009,3,10,38684786040778.0,"2641 25TH ST, San Francisco, CA 94110","CA
(37.751453, -122.404694)",28859,10,19,10.0,4.0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,"Giannini, A.P. Giannini Middle School",6,8,6-8,PS039,11,13,38684786059828.0,"3151 ORTEGA ST, San Francisco, CA 94116","CA
(37.750301, -122.496666)",29491,4,35,1.0,8.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,Economic Opportunity Council Sf - Martin Luther King Childcare,-2,-1,PK,CDC029,3,4,380504362.0,"200 CASHMERE ST, SAN FRANCISCO, CA 94124","CA
(37.737042, -122.386047)",58,10,1,10.0,3.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,Malcolm X Elementary School,0,5,K-5,PS070,5,10,38684786041586.0,"350 HARBOR RD, SAN FRANCISCO, CA 94124","CA
(37.734238, -122.380966)",58,10,1,10.0,3.0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Sheridan Elementary School / Preschool,-2,5,PK-5,PS105,3,10,38684786041560.0,"431 CAPITOL AVE, San Francisco, CA 94112","CA
(37.714478, -122.459633)",28861,11,24,9.0,8.0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,"Hearst, Phoebe Apperson Hearst Home",9,12,9-12,PS045,14,17,38684786041495.0,"3045 SANTIAGO ST, SAN FRANCISCO 94116","CA
(37.74363, -122.500053)",29491,4,35,1.0,8.0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,Wu Yee Child Development Center - Potrero Hill,-2,-1,PK,CDC165,3,4,384002515.0,"824 CAROLINA ST, SAN FRANCISCO, CA 94107","CA
(37.758236, -122.400314)",28856,10,29,10.0,3.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,Hilltop High Special Services Center,8,12,8-12,PS047,13,17,38684783830080.0,"1325 FLORIDA ST, SAN FRANCISCO CA 94110","CA
(37.750454, -122.40963)",28859,9,19,2.0,4.0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Kai Ming Head Start - North Beach Center,-2,-1,PK,CDC061,3,4,384001489.0,"1188 COLUMBUS AVE, SAN FRANCISCO, CA 94133","CA
(37.804852, -122.41642)",308,3,23,5.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Marin Day School - Congregation Sherith Israel,-2,-1,PK,CDC087,3,4,384001298.0,"2664 CALIFORNIA ST, SAN FRANCISCO, CA 94115","CA
(37.788647, -122.438248)",29490,2,27,13.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,"Carmichael, Bessie Carmichael (6-8 Campus)",6,8,6-8,PS012,11,13,38684786040752.0,"824 HARRISON ST, San Francisco, CA 94107","CA
(37.78056, -122.40049)",28856,6,34,6.0,2.0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Marin Day School - Spear St,-2,-1,PK,CDC092,3,4,384001294.0,"101 HOWARD ST, SAN FRANCISCO, CA 94105","CA
(37.790878, -122.392525)",28855,6,6,6.0,2.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Mission Neighborhood Centers - Alemany Head Start,-2,-1,PK,CDC098,3,4,,"956 ELLSWORTH ST, SAN FRANCISCO, CA 94112","CA
(37.733013, -122.417885)",28859,9,2,2.0,7.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,Jefferson Elementary School,0,5,K-5,PS051,5,10,38684786041230.0,"1725 IRVING ST, San Francisco, CA 94122","CA
(37.763065, -122.47673)",56,4,12,1.0,8.0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,Fusion Academy San Francisco,6,12,6-12,IND244,11,17,38684786143440.0,"535 PACIFIC AVE FL 3, SAN FRANCISCO, CA 94133","CA
(37.797028, -122.404182)",308,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,Argonne Elementary School,0,5,K-5,PS005,5,10,38684786040737.0,"680 18TH AVE, San Francisco, CA 94121","CA
(37.775307, -122.476311)",55,1,26,11.0,6.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Little Angels Japanese Preschool,-2,0,PK,IND265,2,5,384000322.0,"1457 09TH AVE, SAN FRANCISCO, CA 94122","CA
(37.761131, -122.466431)",56,7,12,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,Bright Horizons - Pacific Gas And Electric,-2,4,PK-K,IND221,6,10,380506487.0,"77 BEALE ST, SAN FRANCISCO, CA 94105","CA
(37.791763, -122.395592)",28855,6,6,12.0,2.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,"Moscone, George Moscone Elementary / Las Americas Early Education",-2,5,PK-5,PS082,3,10,38684786099154.0,"2576 HARRISON ST, San Francisco, CA 94110","CA
(37.756741, -122.41262)",28859,9,19,2.0,4.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
52,Sherman Elementary School,0,5,K-5,PS106,5,10,38684786041578.0,"1651 UNION ST, San Francisco, CA 94123","CA
(37.797802, -122.426117)",57,2,17,13.0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,Kipp Bayview Academy,5,8,5-8,PS057,10,13,38684780101337.0,"1060 KEY AVE, SAN FRANCISCO CA 94124","CA
(37.719532, -122.396561)",58,10,1,10.0,3.0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,Sweet Peas Preschool - East,-2,-1,PK,CDC142,3,4,384002314.0,"2730 17TH ST, SAN FRANCISCO, CA 94110","CA
(37.764515, -122.411102)",28859,9,19,8.0,4.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,Edgewood Center For Children And Families,2,12,2-12,IND239,7,17,38684786908917.0,"1801 VICENTE ST, SAN FRANCISCO, CA 94116","CA
(37.737984, -122.486259)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,Wen Jian Ying,0,12,K-12,IND336,5,17,38684786203384.0,"259 JUDSON AVE, SAN FRANCISCO, CA 94112","CA
(37.72802, -122.447571)",28861,7,40,9.0,7.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,Lawton Alternative School,0,8,K-8,PS062,5,13,38684786041339.0,"1570 31ST AVE, San Francisco, CA 94122","CA
(37.758049, -122.489098)",56,4,35,1.0,8.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,Chinese American International School,-2,-1,PK,CDC014,3,4,384001964.0,"42 WALLER ST, SAN FRANCISCO, CA 94102","CA
(37.772228, -122.424232)",28852,5,10,7.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,Faces Sf Child Development Program - Bayview-Hunters Point,-2,6,PK-6,IND241,3,11,384002200.0,"100 WHITNEY YOUNG CIR, SAN FRANCISCO, CA 94124","CA
(37.734039, -122.384216)",58,10,1,10.0,3.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,Visitacion Valley Elementary School,0,5,K-5,PS118,5,10,38684786041701.0,"55 SCHWERIN ST, SAN FRANCISCO, CA 94134","CA
(37.712524, -122.409897)",309,10,39,9.0,7.0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,Little Star Preschool,-2,-1,PK,CDC079,3,4,380504535.0,"2540 TARAVAL ST, SAN FRANCISCO, CA 94116","CA
(37.742508, -122.493668)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,New Traditions Elementary School,0,5,K-5,PS084,5,10,38684786097919.0,"2049 GROVE ST, San Francisco, CA 94117","CA
(37.773884, -122.450264)",29492,5,16,15.0,5.0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,San Francisco County Civic Center Secondary School,7,12,7-12,PS100,12,17,38103893830445.0,"727 GOLDEN GATE AVE, San Francisco, CA 94102","CA
(37.780296, -122.422943)",28852,5,41,7.0,9.0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Saint Pauls School,0,8,K-8,IND303,5,13,38684786980601.0,"1690 CHURCH ST, SAN FRANCISCO, CA 94131","CA
(37.743923, -122.426926)",63,8,22,2.0,7.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,Rooftop (K-4 Burnett Campus),-2,8,PK-8,PS097,3,13,38684786089775.0,"443 BURNETT AVE, San Francisco, CA 94131","CA
(37.75481, -122.443222)",63,8,38,2.0,5.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,Saints Peter And Paul Elementary School,0,8,K-8,IND310,5,13,38684786980684.0,"660 FILBERT ST, SAN FRANCISCO, CA 94133","CA
(37.801598, -122.410217)",308,3,23,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
