,Campus Name,Lower Grade,Upper Grade,Grade Range,Map Label,Lower Age,Upper Age,CDS Code,Campus Address,Location 1,Zip Codes,Supervisor District,Neighborhoods (old),Fire Prevention Districts,Police Districts,Supervisor Districts,CCSF Entity_Private,CCSF Entity_SFCCD,CCSF Entity_SFUSD,Category_Community College District,Category_Independent / Private,Category_USD Charter School,Category_USD Charter School; PreK-5,Category_USD County School,Category_USD Grades 6-12,Category_USD Grades 6-8,Category_USD Grades 9-12,Category_USD Grades K-4,Category_USD Grades K-5,"Category_USD Grades K-5, PreK-5",Category_USD Grades K-8,Category_USD Grades PK-8,Category_USD PreK,"Category_USD PreK, Grades K-5",Category_USD PreK-4,"Category_USD PreK-4, Grades K-5",Category_USD PreK-5,Category_USD PreK-5                                   ,"Category_USD PreK-5, Grades K-5",Category_USD PreK-8,Category_USD PreK/TK,Category_USD PreK/TK-4,Category_USD PreK/TK-5,General Type_CC,General Type_CDC,General Type_IND,General Type_PS
149,Alta Vista School,0,5,K-5,IND209,5,10,38684786140099.0,"413 SOMERSET ST, SAN FRANCISCO, CA 94134","CA
(37.726391, -122.407196)",309,9,28,10.0,3.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,Golden Bridges School,-2,0,PK-K,IND246,3,5,38684786145635.0,"3358 22ND ST, SAN FRANCISCO, CA 94110","CA
(37.755467, -122.42231)",28859,8,19,2.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,Creative Arts Charter School,0,8,K-8,PS023,5,13,38684786112601.0,"1601 TURK ST, San Francisco, CA 94115","CA
(37.779804, -122.436073)",29490,5,41,15.0,5.0,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,Laurel Hill Nursery School,-2,-1,PK,CDC072,3,4,380504783.0,"401 EUCLID AVE, SAN FRANCISCO, CA 94118","CA
(37.783798, -122.452728)",54,2,31,15.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,Phoebe A Hearst Learning Center,-2,-1,PK,CDC122,3,4,380500512.0,"1315 ELLIS ST, SAN FRANCISCO, CA 94114","CA
(37.782681, -122.427948)",29490,5,41,7.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,Marin Day School - Market Street,-4,-2,INF,CDC090,1,3,384001297.0,"1390 MARKET ST, STE 108, SAN FRANCISCO, CA 94102","CA
(37.777226, -122.417358)",28852,6,36,7.0,9.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,Treasure Island Child Development Center,-2,-1,PK,CDC147,3,4,384002011.0,"850 AVE D, SAN FRANCISCO, CA 94130","CA
(37.825985, -122.372505)",62,6,37,,2.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,Saint Anthony - Immaculate Conception School,0,8,K-8,IND289,5,13,38684786981666.0,"295 PRECITA AVE, SAN FRANCISCO, CA 94110","CA
(37.747536, -122.414223)",28859,9,2,2.0,7.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,Starlight Christian Preschool 2,-2,-1,PK,CDC139,3,4,384001536.0,"3155 VICENTE ST, SAN FRANCISCO, CA 94116","CA
(37.738022, -122.500977)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,"Webster, Daniel Webster Elementary School",6,12,6-12,PS122,11,17,38684786040893.0,"655 DE HARO ST, SAN FRANCISCO CA 94107","CA
(37.762009, -122.400772)",28856,10,29,10.0,3.0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,Oakes Childrens Center,0,8,K-8,IND279,5,13,38684786981534.0,"1550 TREAT AVE, SAN FRANCISCO, CA 94110","CA
(37.74593, -122.412697)",28859,9,2,2.0,7.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,Sunset Cooperative Nursery School,-2,-1,PK,CDC141,3,4,384002119.0,"4245 LAWTON ST, SAN FRANCISCO, CA 94122","CA
(37.756386, -122.508499)",56,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,Laurel School,0,8,K-8,IND262,5,13,,"350 09TH AVE, SAN FRANCISCO, CA 94118","CA
(37.781941, -122.467331)",54,1,11,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,Wu Yee Child Development Center - Westside,-2,-1,PK,CDC167,3,4,384002531.0,"2400 POST ST, SAN FRANCISCO, CA 94115","CA
(37.784466, -122.442268)",29490,5,13,15.0,6.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163,De Marillac Academy,4,8,4-8,IND235,9,13,38684787104466.0,"175 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102","CA
(37.781658, -122.413345)",28852,6,36,7.0,10.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,San Francisco Waldorf School,-2,8,PK-8,IND323,3,13,38684786907927.0,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115","CA
(37.790783, -122.44191)",29490,2,27,13.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,Ecole Notre Dame Des Victoires,0,8,K-8,IND238,5,13,38684786981500.0,"659 PINE ST, SAN FRANCISCO, CA 94108","CA
(37.791115, -122.406464)",28857,3,6,5.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,Grattan Elementary / Early Education,-2,5,PK-5,PS041,3,10,38684786041115.0,"165 GRATTAN ST, San Francisco, CA 94117","CA
(37.763493, -122.450424)",29492,5,9,15.0,5.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
167,"Hoover, Herbert Hoover Middle School",6,8,6-8,PS048,11,13,38684786059851.0,"2290 14TH AVE, San Francisco, CA 94116","CA
(37.745556, -122.468964)",29491,7,40,1.0,8.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168,Chibi Chan Preschool,-2,-1,PK,CDC012,3,4,384000923.0,"2012 PINE ST, SAN FRANCISCO, CA 94115","CA
(37.788784, -122.429291)",29490,5,27,13.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
169,Presidio Hill School,-2,8,PK-8,IND283,3,13,38684786205652.0,"3839 WASHINGTON ST, SAN FRANCISCO, CA 94118","CA
(37.788582, -122.456062)",54,2,31,11.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,Hearing & Speech Center Of Northern California,-2,0,PK-K,IND248,3,5,38684786980700.0,"1234 DIVISADERO ST, SAN FRANCISCO, CA 94115","CA
(37.781174, -122.438728)",29490,5,41,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171,Starlight Christian Preschool 1,-2,-1,PK,CDC138,3,4,384001339.0,"750 26TH AVE, SAN FRANCISCO, CA 94121","CA
(37.775311, -122.484924)",55,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,Mission Neighborhood Centers - Valencia Gardens,-2,-1,PK,CDC106,3,4,384001634.0,"380 VALENCIA ST, SAN FRANCISCO, CA 94103","CA
(37.767098, -122.423202)",28853,8,19,8.0,4.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,Lakeshore Elementary School,0,5,K-5,PS059,5,10,38684786041321.0,"220 MIDDLEFIELD DR, San Francisco, CA 94132","CA
(37.730324, -122.48542)",64,7,14,1.0,8.0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174,Life Learning Academy Charter School,9,12,9-12,PS064,14,17,38684783830429.0,"651 8TH TI ST, SAN FRANCISCO, CA 94130","CA
(37.825512, -122.367996)",62,6,37,,2.0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,German International School Of Silicon Valley - San Francisco Campus,0,8,K-8,IND245,5,13,38684786148308.0,"4 FUNSTION AVE, SAN FRANCISCO, CA 94129","CA
(37.800007, -122.455566)",61,2,30,11.0,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,Marina Middle School,6,8,6-8,PS071,11,13,38684786062061.0,"3500 FILLMORE ST, San Francisco, CA 94123","CA
(37.801827, -122.435478)",57,2,17,13.0,9.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,San Francisco Schoolhouse (Congregation Beth Shalom),0,8,K-8,IND320,5,13,384000303.0,"301 14TH AVE, SAN FRANCISCO, CA 94118","CA
(37.782391, -122.473167)",54,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,San Francisco City Academy,0,8,K-8,IND313,5,13,38684787095755.0,"230 JONES ST, SAN FRANCISCO, CA 94102","CA
(37.783505, -122.412201)",28852,6,36,14.0,10.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,Saint Brendan School,0,8,K-8,IND290,5,13,38684786981674.0,"940 LAGUNA HONDA BLVD, SAN FRANCISCO, CA 94127","CA
(37.742855, -122.455925)",59,7,40,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,Saint Finn Barr Catholic School,0,8,K-8,IND294,5,13,38684786981740.0,"419 HEARST AVE, SAN FRANCISCO, CA 94112","CA
(37.730446, -122.447411)",28861,7,40,9.0,7.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,Wu Yee Child Development Center - Lok Yuen,-2,-1,PK,CDC162,3,4,384000493.0,"930 STOCKTON ST, SAN FRANCISCO, CA 94108","CA
(37.794365, -122.407791)",28857,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
182,Kai Ming Head Start - Battery Center,-2,-1,PK,CDC059,3,4,384001838.0,"820 BATTERY ST, SAN FRANCISCO, CA 94111","CA
(37.798973, -122.400581)",28860,3,6,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,City College of San Francisco Southeast Center,13,14,13-14,CC10,18,19,,"1800 OAKDALE AVE, SAN FRANCISCO, CA 94124","CA
(37.737148, -122.394096)",58,10,1,10.0,3.0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,Saint Marys School,0,8,K-8,IND300,5,13,38684786981997.0,"838 KEARNY STREET, SAN FRANCISCO, CA 94108","CA
(37.795944, -122.404907)",28857,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,Rainbow Montessori Of San Francisco,-2,-1,PK,CDC126,3,4,380505779.0,"2354 24TH AVE, SAN FRANCISCO, CA 94116","CA
(37.743538, -122.480759)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,Sand Paths Academy,8,12,8-12,IND324,13,17,38684786987101.0,"1218 S VAN NESS AVE, SAN FRANCISCO, CA 94110","CA
(37.753468, -122.416717)",28859,9,19,2.0,4.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,Synergy Elementary School,0,8,K-8,IND331,5,13,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110","CA
(37.750885, -122.420326)",28859,9,19,2.0,4.0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188,Lycee Francais De San Francisco,-2,5,PK-5,IND270,3,10,38684786146369.0,"755 ASHBURY ST, SAN FRANCISCO, CA 94117","CA
(37.767971, -122.446968)",29492,5,9,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,Clarendon Elementary School,0,5,K-5,PS020,5,10,38684786040828.0,"500 CLARENDON AVE, San Francisco, CA 94131","CA
(37.753754, -122.456268)",63,7,12,1.0,5.0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,Lycee Francais De San Francisco,6,12,6-12,IND269,11,17,38684786939664.0,"1201 ORTEGA ST, SAN FRANCISCO, CA 94122","CA
(37.751988, -122.476829)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,Katherine Delmar Burke School,0,8,K-8,IND255,5,13,38684786981328.0,"7070 CALIFORNIA ST, SAN FRANCISCO, CA 94121","CA
(37.784283, -122.493324)",55,2,33,11.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,Marin Day School - San Francisco City Hall,-2,-1,PK,CDC091,3,4,384001292.0,"1 DR CARLTON B GOODLETT PL, RM 68, SAN FRANCISCO, CA 94102","CA
(37.779324, -122.418816)",28852,6,36,7.0,9.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,"Mccoppin, Frank Mccoppin Elementary / Early Education",0,5,K-5,PS074,5,10,38684786041016.0,"651 06TH AVE, San Francisco, CA 94118","CA
(37.77631, -122.464477)",54,1,11,11.0,6.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,Gateway High School / Kipp Sf Bay Academy,9,12,9-12,PS037,14,17,38684783830437.0,"1430 SCOTT ST, San Francisco, CA 94115","CA
(37.783264, -122.436691)",29490,5,41,13.0,5.0,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,Galileo High School,9,12,9-12,PS035,14,17,38684783831765.0,"1150 FRANCISCO ST, San Francisco, CA 94109","CA
(37.803791, -122.424149)",28858,2,32,5.0,9.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,Kangaroos Preschool,-2,0,PK-K,IND254,3,5,384002312.0,"298 MONTEREY BLVD, SAN FRANCISCO, CA 94131","CA
(37.731812, -122.441833)",63,7,40,9.0,7.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,Glide Family Youth And Childcare Center,-2,-1,PK,CDC045,3,4,384000531.0,"330 ELLIS ST, SAN FRANCISCO, CA 94102","CA
(37.78529, -122.411697)",28852,6,36,14.0,10.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,Jefferson Early Education School,-2,-1,PK,CDC055,3,4,380504419.0,"1350 25TH AVE, San Francisco, CA 94122","CA
(37.76236, -122.483162)",56,4,35,1.0,8.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,Noe Valley Nursery School,-2,-1,PK,CDC115,3,4,384002096.0,"5210 DIAMOND HEIGHTS BLVD, SAN FRANCISCO, CA 94131","CA
(37.743469, -122.440552)",63,8,7,2.0,7.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200,Ucsf - University Child Care Center - Laurel Heights,-2,-1,PK,CDC151,3,4,384001301.0,"3333 CALIFORNIA ST STE 220, SAN FRANCISCO, CA 94118","CA
(37.786099, -122.448387)",54,2,31,15.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,Montessori Childrens House Of The West Coast,-2,-1,PK,CDC108,3,4,380503970.0,"25 LAKE ST, SAN FRANCISCO, CA 94118","CA
(37.786671, -122.459686)",54,2,11,11.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202,Five Keys Charter,8,12,8-12,PS032,13,17,38684780101774.0,"70 OAK GROVE ST, San Francisco, CA 94107","CA
(37.777107, -122.402229)",28856,6,34,14.0,2.0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
203,Little Sunshine Childcare,-2,-1,PK,CDC081,3,4,,"308 JULES AVE, SAN FRANCISCO, CA 94112","CA
(37.7239, -122.46096)",28861,7,24,9.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,Saint Pauls Littlest Angel Preparatory,-2,0,PK-K,IND302,3,5,380506430.0,"221 VALLEY ST STE X, SAN FRANCISCO, CA 94131","CA
(37.74419, -122.427742)",63,8,22,2.0,7.0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,City College of San Francisco Mission Center,13,14,13-14,CC08,18,19,,"1125 VALENCIA ST, SAN FRANCISCO, CA 94110","CA
(37.754791, -122.420616)",28859,9,19,2.0,4.0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,Economic Opportunity Council Sf - Oscaryne Williams Center Of Hope,-2,-1,PK,CDC031,3,4,380506485.0,"65 TURNER TER, SAN FRANCISCO, CA 94107","CA
(37.755798, -122.394974)",28856,10,29,10.0,3.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
207,Alt School - Fort Mason,0,8,K-8,IND204,5,13,38684786146773.0,"3741 BUCHANAN ST, SAN FRANCISCO, CA 94123","CA
(37.804562, -122.433907)",57,2,17,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,"Sloat, Commodore Sloat Elementary School",0,5,K-5,PS107,5,10,38684786040851.0,"50 DARIEN WAY, SAN FRANCISCO, CA 94127","CA
(37.731258, -122.470482)",59,7,40,9.0,8.0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
209,Ark Christian Preschool,-2,-1,PK,CDC006,3,4,380504714.0,"3141 VICENTE ST, SAN FRANCISCO, CA 94116","CA
(37.73803, -122.500786)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,Economic Opportunity Council Sf - Rainbow Preschool,-2,-1,PK,CDC032,3,4,380505485.0,"795 PACIFIC AVE, SAN FRANCISCO, CA 94133","CA
(37.796528, -122.407638)",308,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
211,Laguna Golden Gate Child Care Center,-2,-1,PK,CDC070,3,4,,"1025 LAGUNA ST, SAN FRANCISCO CA 94115","CA
(37.780636, -122.42733)",29490,5,41,7.0,9.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
212,Playmates Cooperative Nursery School,-2,-1,PK,CDC123,3,4,380504052.0,"2342 42ND AVE, SAN FRANCISCO, CA 94116","CA
(37.743015, -122.500076)",29491,4,35,1.0,8.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
213,Miraloma Cooperative Nursery School,-2,-1,PK,CDC096,3,4,380505313.0,"443 FOERSTER ST, SAN FRANCISCO, CA 94127","CA
(37.732193, -122.449142)",59,7,40,9.0,7.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,Jewish Community Center San Francisco - Helen Diller Family Preschool,-2,-1,PK,CDC057,3,4,384001263.0,"3200 CALIFORNIA ST, SAN FRANCISCO, CA 94118","CA
(37.787365, -122.44722)",54,2,31,13.0,6.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
215,Saint Stephen School,0,8,K-8,IND306,5,13,38684786980643.0,"473 EUCALYPTUS DR, SAN FRANCISCO, CA 94132","CA
(37.730911, -122.477684)",64,7,14,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,Peters Place Nursery School,-2,-1,PK,CDC121,3,4,384000741.0,"227 BALBOA ST, SAN FRANCISCO, CA 94118","CA
(37.777092, -122.461357)",54,1,11,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
217,Wu Yee Child Development Center - Chinatown Little Sprouts,-2,-1,PK,CDC158,3,4,384000804.0,"831 BROADWAY ST, SAN FRANCISCO, CA 94133","CA
(37.797012, -122.410713)",308,3,4,3.0,1.0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
218,"Milk, Harvey Milk Elementary School",0,5,K-5,PS077,5,10,38684786040919.0,"4235 19TH ST, San Francisco, CA 94114","CA
(37.758926, -122.436447)",28862,8,3,2.0,4.0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,Balboa High School,9,12,9-12,PS007,14,17,38684783830288.0,"1000 CAYUGA AVE, San Francisco, CA 94112","CA
(37.721142, -122.441399)",28861,11,25,9.0,7.0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,Urban School Of San Francisco,9,12,9-12,IND333,14,17,38684786938930.0,"1563 PAGE ST, SAN FRANCISCO, CA 94117","CA
(37.770832, -122.44635)",29492,5,9,15.0,5.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
221,Mission Neighborhood Centers - Stevenson,-2,-1,PK,CDC105,3,4,384000731.0,"1320 STEVENSON ST, SAN FRANCISCO, CA 94103","CA
(37.771469, -122.421883)",28853,6,19,8.0,2.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
222,"Serra, Junipero Serra Elementary School",0,5,K-5,PS104,5,10,38684786041289.0,"625 HOLLY PARK CIR, San Francisco, CA 94110","CA
(37.736912, -122.421486)",28859,9,2,2.0,7.0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,Kids By The Bay Preschool,-3,0,PK-K,IND257,2,5,384001720.0,"90 7TH ST, SAN FRANCISCO, CA 94103","CA
(37.779549, -122.412102)",28853,6,34,8.0,2.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
224,Kinderhaus - German International Preschool,-2,-1,PK,CDC068,3,4,384002638.0,"198 WATERVILLE ST, SAN FRANCISCO, CA 94124","CA
(37.732529, -122.402496)",58,10,1,10.0,3.0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225,Brandeis Hillel School Of San Francisco,0,8,K-8,IND216,5,13,38684786965578.0,"655 BROTHERHOOD WAY, SAN FRANCISCO, CA 94132","CA
(37.713421, -122.475639)",64,7,14,1.0,8.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226,La Scuola International School,0,8,K-8,IND260,5,13,38684786144257.0,"735 FELL ST, SAN FRANCISCO, CA 94117","CA
(37.774921, -122.430046)",29492,5,10,7.0,9.0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
227,Claire Lilienthal Alternative School - Scott Campus,3,8,3-8,IND229,8,13,384000539.0,"3630 DIVISADERO ST, SAN FRANCISCO, CA 94118","CA
(37.803036, -122.442665)",57,2,17,13.0,9.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
228,Kai Ming Head Start - Richmond Center,-2,-1,PK,CDC062,3,4,384001019.0,"426 33RD AVE, SAN FRANCISCO, CA 94121","CA
(37.781128, -122.493202)",55,1,26,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
229,Mission Education Center Elementary School,0,5,K-5,PS079,5,10,38684786089585.0,"1670 NOE ST, San Francisco, CA 94131","CA
(37.742203, -122.431435)",63,8,22,2.0,7.0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,Angelas Children Center,-2,-1,PK,CDC003,3,4,380505898.0,"775 07TH AVE, SAN FRANCISCO, CA 94118","CA
(37.773998, -122.465179)",54,1,11,11.0,6.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
