,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
51,1990-02-21,,152.97075208913648,11.679665738161564,23.34540389972144,97.30083565459609,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-21 Illinois DuPage
52,1990-02-22,,161.05552486187844,13.71270718232044,23.28729281767957,97.05248618784536,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-22 Illinois DuPage
53,1990-02-23,,173.75662983425408,11.6878453038674,23.314917127071805,97.1657458563536,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-23 Illinois DuPage
54,1990-02-24,,173.83792134831458,11.01685393258427,23.32022471910111,97.18258426966293,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-24 Illinois DuPage
55,1990-02-25,,168.77619047619046,11.41176470588235,23.49859943977591,97.92156862745092,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-25 Illinois DuPage
56,1990-02-26,,141.66232686980612,12.279778393351783,23.130193905817176,96.40166204986146,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-26 Illinois DuPage
57,1990-02-27,,150.95895316804396,12.25619834710744,23.534435261708,98.07162534435255,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-27 Illinois DuPage
58,1990-02-28,,161.2900000000001,12.241666666666656,23.261111111111106,96.95000000000007,Illinois,DuPage,Lisle,Illinois DuPage,1990-02-28 Illinois DuPage
59,1990-03-01,,162.16032608695664,10.788043478260873,23.23641304347828,96.8478260869566,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-01 Illinois DuPage
60,1990-03-02,,163.76576086956507,12.266304347826088,23.717391304347814,98.83152173913048,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-02 Illinois DuPage
61,1990-03-03,,176.42234332425076,11.632152588555863,23.602179836512267,98.34604904632153,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-03 Illinois DuPage
62,1990-03-04,,157.6547945205479,10.682191780821912,23.86849315068494,99.45753424657536,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-04 Illinois DuPage
63,1990-03-05,,138.70607734806632,12.143646408839778,23.779005524861883,99.09392265193372,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-05 Illinois DuPage
64,1990-03-06,,132.65906593406584,12.21978021978022,23.3324175824176,97.24175824175816,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-06 Illinois DuPage
65,1990-03-07,,133.13694444444454,11.347222222222214,23.64444444444445,98.5333333333333,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-07 Illinois DuPage
66,1990-03-08,,142.55828729281768,11.726519337016576,23.35082872928177,97.30662983425412,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-08 Illinois DuPage
67,1990-03-09,,150.8383977900552,11.11325966850828,23.704419889502777,98.78729281767951,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-09 Illinois DuPage
68,1990-03-10,,145.6758333333333,11.033333333333324,23.71388888888891,98.82222222222217,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-10 Illinois DuPage
69,1990-03-11,,147.91620111731825,12.960893854748605,23.675977653631275,98.66201117318428,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-11 Illinois DuPage
70,1990-03-12,,145.5977653631284,11.807262569832409,23.293296089385485,97.07821229050276,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-12 Illinois DuPage
71,1990-03-13,,148.72857142857148,10.817142857142857,23.33714285714285,97.2685714285714,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-13 Illinois DuPage
72,1990-03-14,,157.69237288135585,12.67514124293786,23.141242937853107,96.44067796610166,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-14 Illinois DuPage
73,1990-03-15,,154.77793296089368,9.60055865921788,23.608938547486048,98.38547486033524,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-15 Illinois DuPage
74,1990-03-16,,153.23176795580102,12.966850828729278,23.64088397790054,98.51381215469614,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-16 Illinois DuPage
75,1990-03-17,,165.07666666666668,13.944444444444446,23.89999999999999,99.59444444444442,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-17 Illinois DuPage
76,1990-03-18,,165.41573033707866,12.275280898876405,23.90449438202246,99.61235955056182,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-18 Illinois DuPage
